index,job-title,employer,publish,Publication date,Unpublished date,Expiration date (calculated),Original job description,job-id,logo-link,location,apply-by-date,work-pat,money min,money max,money,money median,rank,money-indication,show-salary,apply-link,paid-ad,accepting applications,extended-description,Legacy columns,Notes,Lead status,Prospect status,Needs to be published,Date Lead added,Annie-Marie think’s it’s ready,Discovered,Contact,Contacted?,Cost,Contract link,Invoice link,Paid date,Source 🔴 DON’T USE,money is guess 🔴 dont use,Where to look to see if this client currently has vacancies,CSV,Upload CSV (remember to tick publish),Upload logos,uxbri.org/jobs
46,Senior UX Researcher,Brandwatch,FALSE,Fri 31 Jan,,,http://jobs.jobvite.com/careers/brandwatch/job/o6q2bfwt?__jvst=Career+Site,0jscfr5w,/jobs/logos/brandwatch-logo.svg,Brighton,unknown,Permanent,,,,,,,FALSE,http://jobs.jobvite.com/brandwatch/job/o6q2bfwt/apply,,no,"### Description
#### About Brandwatch

Brandwatch is the world’s pioneering digital consumer intelligence suite, helping over 2,000 of the world’s most admired brands and agencies including Unilever, Walmart and Dell to make insightful, data-driven business decisions.

The company has made three acquisitions to date: PeerIndex (2013), BuzzSumo (2017) as a standalone content marketing platform, and Qriously (2019) to add global survey capabilities. Additionally, the company was bolstered by its merger with Crimson Hexagon (2018) to create the most comprehensive AI-powered social intelligence solution.

Brandwatch has offices around the globe including Brighton, Boston, New York, London, Berlin, Stuttgart, Paris, Madrid, Sydney and Singapore

 

#### About the team you’ll be joining

Our product design team is split across Brighton, Stuttgart and Berlin. We have a wide range of skills from pure user research through to pure visual design, and a number of people with a blend in between. You’ll report to our Head of UX Research.

#### About the role

You will be the UxR Head’s right hand as you will take over the responsibility of scoping and planning the majority of the incoming research requests as well assisting her in mentoring the less experienced UX Researchers by monitoring, refining, and supplementing research conducted by them.

You will be happy to know that we have a dedicated Research Operations Manager who takes care of participant recruitment and other similar time consuming tasks of this role and that we have direct access to a big number of internal users of our platform with whom we can conduct research or pilot our methods before reaching out to our customers. 

 

#### Responsibilities 

- Conduct user research by applying methods such as usability testing, field research, surveys, and diary studies.
- Facilitate user requirement sessions and user workshops.
- Analyse and triangulate qualitative and quantitative data in order to generate tactical insights along with actionable recommendations that drive product design improvements and innovation.
- Relay complex information in a simple, clear, and concise manner to a variety of stakeholders - from developers to senior management.
 

#### About you 

- You are the users’ number one advocate and an internal evangelist of user-centered design.
- You have significant experience (5+ years) as a UX Designer/Researcher in qualitative and quantitative research methods and have a Master’s degree in Cognitive Science, Design Research, Human-Computer Interaction, Interaction Design, or a related relevant field.
- You have a proven track record of successful product research within organisations.
- Experience working across multi-disciplinary teams and managing multiple projects to tight deadlines.
- You possess exceptional communication skills in both verbal and written form as well as strong influencing and relationship-building skills. 
- You have a drive to take initiative beyond your normal duties and a will to constantly learn new and developing research and analysis methods.



#### What we offer:

#### Benefits

We offer a range of benefits including; bike to work scheme, pension contribution, and discounted gym memberships.

#### Culture

Brandwatch is a place where the lines between work and fun are blurred. As a growing international company, with 10 offices across the globe, communication is key to ensure everyone’s voices are heard, and helps us maintain our flat structure. We listen and learn. We develop our staff. We care about everything, and above all we support each other.

#### Working for Brandwatch

Brandwatch Brighton is where it all began. We can be found in the vibrant North Laines in our contemporary offices. Whilst we don’t believe in stereotypes, we host subsidized onsite pilates and yoga classes along with our Juice Mondays. We have cupboards bursting with snacks, a well stocked drinks fridge, sushi lunches, flexible working spaces, weekly massages and if you’re lucky we’ll even treat you to an ice-cream on the beach or our fortnightly massages right from the office.

(UX Brighton presumes this role to be permanent. Please confirm directly with Brandwatch)",,[	on board pre Tor	],❇️ Tor to upload without sale,,,,,https://uxbri.slack.com/archives/C1626ASJY/p1580388237011000,Eve Malisianou on Slack. no contact made,,,,,,,,,,,,
47,Senior Conversion Strategist,Fresh Egg,FALSE,"Fri, 31 Jan ’20",11 Mar,,https://www.freshegg.co.uk/culture/careers#career-113,wtefkh8,/jobs/logos/freshegg-logo.jpg,Worthing,unknown,Permanent,,,,,,,FALSE,mailto:recruitment@freshegg.com,,9 Mar,"### Senior Conversion Strategist (CRO)

We are looking for a Senior Conversion Strategist to join our award winning and established Conversion Services (CRO) team to work on some exciting projects and clients. 

We need someone with experience in CRO, that is well versed and ‘hands on’ when it comes to split testing and web analytics, who has managed the implementation of split tests across teams and that can hold their own in a senior stakeholder conversation. You’ll need to have a passion for delivering exceptional experiences to users, but you’ll also appreciate the value of using data to support your ideas and in proving their success via split testing. You’ll work WITH our clients (not for them) to analyse, understand and solve conversion problems and opportunities. You’ll then conceptualise solutions, test them, and report how awesome your ideas proved to be.

We’re also looking for a do-er. Someone who isn’t scared to experiment, fail, or accept there will always be something new to learn. You don’t see blockers where others might, you just see opportunities to innovate around them. As part of the team you won’t be flying solo – you’ll have experts like yourself to interact with and bounce ideas off allowing you to further develop your career.

**Skills, knowledge and experience…**

**Technologies and data**

- Knowledge of a range of testing and personalisation platforms and a proven track record of using them at an advanced level. Ideally one of the following - Qubit, Monetate, Optimizely, Google Optimize or Adobe Test and Target.
- In-depth knowledge of Google Analytics is necessary, working knowledge of Adobe Analytics would be beneficial
- Data analysis, visualisation and data manipulation skills, including via Google Data Studio, Google Sheets, MS Excel etc.

**Strategy and implementation**

- Experience in developing optimisation or personalisation strategies using quantitative and qualitative research and value prioritisation techniques
- Able to demonstrate commercial awareness to leverage the most relevant methodology or approach to achieve client objectives
- Experience creating innovative and elegant solutions to conversion issues or opportunities on web properties, working with or managing designers and developers
- Enough understanding of front-end coding technologies and methods to communicate effectively with developers and to support technical scoping and troubleshooting
- Hands on experience in test set-up, targeting and tracking
- Experience in interpreting split test results and using them to make sound recommendations for improving the performance of web properties
- Capable of effectively account managing and project managing some client engagements and resource directly and working within matrix teams on others

**Communication**

A great communicator at all levels with experience in presenting pitches/proposals and reports to internal team and clients at all levels of seniority
Able to effectively visualise and communicate data stories
Able to effectively communicate user stories & solution requirements
Evidence of mentoring team in aspects of the discipline

**Work experience & demonstrable results**

- Experience working in conversion at a senior level, with a track record of delivering consistent and impressive return on investment
- Evidence of maintaining and developing senior stakeholder or client relationships to meet/exceed KPI targets
- Experience of working with businesses of various sizes, ideally some experience of working in or with 'blue chip' companies and experience in the financial services sector would be a bonus
- Evidence of growing an optimisation function for or within a business working with multiple stakeholders with differing needs

To apply please send your CV and cover letter, with the answers to the below, to recruitment@freshegg.com

- Please describe your CRO experience  
- Please describe any knowledge you have of other digital channels 
- Please give your salary expectations

(UX Brighton presumes this role to be permanent. Please confirm directly with Fresh Egg)",,[	on board. Not going to tweet though as not quite UX	],❇️ Tor to upload without sale,,,,,https://uxbri.slack.com/archives/C1626ASJY/p1579105306015300,Luke on Slack. No contact made,,,,,,,,,,,,
48,UX Engineer,Smart Pension,FALSE,"Sun, 2 Feb ’20",,,https://apply.workable.com/smart-pension-1/j/9E70D274C7/,wadsg51,/jobs/logos/smartpensions-logo.png,Brighton/London,unknown,Permanent,,,,,,,FALSE,https://apply.workable.com/smart-pension-1/j/9E70D274C7/apply/,,31 Mar,"**Description**

As a UX Engineer, you’ll be responsible for prototyping, designing and building web apps using React, Vue.js or similar frameworks. You’ll work with UX Specialists, UI Designers, Content Designers and User Researchers.

You’ll do a wide range of work, from very open ended research spikes, to prototyping your own UX/UI design in code, to delivering production front end code as part of a cross-functional agile team. We’re interested in candidates who enjoy working on UX and UI design challenges as well as shipping code.

The UX innovation team is based in two locations: London (Paddington) and Brighton. This role can be made available in either location.


**Team Structure:**

- You’ll work in the Smart Pension “UX Innovation team”. This team focuses on finding new ways to make pensions engaging for regular people (“scheme members”).
- The team’s activities are wide-ranging, from building blue sky “fantasy” prototypes through to delivering production features for the Smart Pension platform.
- The UX innovation team consists of 1-3 people in each of the following roles: UX Lead, UI Design, Content Design and UX Engineer. Stakeholders from other teams also often get involved in our work, including User Researchers, Product Owners and Subject Matter Experts.
- The UX innovation team has a dedicated team of back end engineers, consisting of two Ruby Engineers, one QA and a scrum master.


At Smart, we're a diverse team, made up of people from different backgrounds, experiences and skills. Our goal is to build great products to help people plan for their financial futures. We’re constantly developing new ideas to help people look after their pension schemes, in the UK and abroad. We’ve grown to a team of over 200 talented people, all dedicated to creating the best experience for our customers. If you think you can help, come and work with us.

Our updated Recruitment Data Policy is at here. https://www.autoenrolment.co.uk/pdfs/careers/recruitment-data-notice.pdf


**Requirements**

- A deep understanding of Javascript. (Our interview tests require you to show your knowledge).
- Using React, Vue.js (or similar javascript frameworks) to deliver substantial digital projects. Either agency-side or client-side experience is fine. Knowledge of ES6+ JavaScript/TypeScript.
- Working with and extending design systems (e.g. Grommet.io).
- Working collaboratively with UX Leads, Product Owners, Content Designers, Researchers and UI Designers in an agile environment.
- A keen interest in best practices and industry trends.
- Experience with responsive and adaptive design frameworks.
- Good communications and analytical skills (problem solving).
- Experience working with APIs.
- Ability to manage your own work as well as pairing up with other team members.


**Benefits**

- 25 days holiday per year plus Bank Holidays.
- Auto-Enrolment Pension scheme. The company matches your contributions up to 5%.
- £500 personal training budget per year to spend on courses or conferences.
- Health Insurance (via Benenden).
- Access to PerkBox.
- Cycle to work scheme.



(UX Brighton presumes this role to be permanent. Please confirm directly with Smart Pension)",,,❇️ Tor to upload without sale,,,,,"https://www.linkedin.com/feed/update/urn:li:activity:6626055083501195265/
Random find",harry@brignull.com. No contact as yet,,,,,,,,,,,,
49,,IncendiaryBlue,FALSE,,,,,pdfmnt,,,,,,,,,,,FALSE,,,,,,"Mark advised Danny of the position, By the time Tor replied the role had been filled. Mid Dec 2019",🔵 lead closed,,,,,,Mark Eddington (Founder and Principle Consultant),,,,,,,,,,,,
50,,Balsamiq,FALSE,,,,,93jmdty,,,,,,,,,,,FALSE,,,,,,,🔵 lead closed,,,,,2020 sponsor,Amanda Hajek (Sponsorship Coordinator),,,,,,,,,,,,
51,,Fresh Egg,FALSE,,,,,2ws3rf5ty,,,,,,,,,,,FALSE,,,,,,,,,,,,2020 sponsor,Lee Colbran (Products and Services Director),,,,,,,,,,,,
52,,Brightec,FALSE,,,,,87ymnbv,,,,,,,,,,,FALSE,,,,,,,,,,,,2020 sponsor,Joshua O'Riordan (Creative Director),,,,,,,,,,,,
53,UX Director,Torpedo,FALSE,,,,https://torpedogroup.com/careers/,sdf76gy,,,,,,,,,,,FALSE,,,,,,Dead lead. 'Thanks but this isn’t something we require.',🔵 lead closed,,,,,Google Search,Mand Avis (HR manager),,,,,,,,,,,,
54,,Mohara,FALSE,,,,,23dcdh6ki,,,,,,,,,,,FALSE,,,,,,"[AMP contacted John via Slack, introduced to Tor via email so she can give more info. Tor emailed and not heard back. As we aren't chargin people at the mo should we offer for free again? Bit tricky to know given our changing postion on this. ]",,,,,,Slack #jobs channel,John Sunart  (Design Director),,,,,,,,,,,,
55,UXer in Charge of Audit Sales & Support,Baymard Institue,FALSE,,,,https://baymard.com/jobs/auditor,9kiil6hjm,,remote,,,,in accordance with qualifications,-in accordance with qualifications,,,,FALSE,,,,,,Job closed 3/2/20,,,,,,slack #jobs channel,,,,,,,,,,,,,
56,Contract UX Designer,Clearleft,FALSE,,,,https://uxbri.slack.com/archives/C1626ASJY/p1577969210012400,8yu9lkmm,,Brighotn,,,,unknown,-unknown,,,,FALSE,,,,,,[Only a 7 week role. Clearleft normally publish salaries. Maybe contact Andy and see if still available and if he wants to share pay rate we can publish for free as in back fill phase? ,,,,,,slack #jobs channel,Andy Thornton,,,,,,,,,,,,
57,UX/UI Designer for games,Sprung Studios,FALSE,,,,"https://www.glassdoor.co.uk/Job/brighton-ux-designer-jobs-SRCH_IL.0,8_IC2680716_KO9,20.htm?fromAge=7&jl=3453067830&ja=126530690&guid=0000016f99b3c572a80eec3e1f827fee&pos=102&srs=EMAIL_JOB_ALERT&s=255&ao=389273&utm_source=jobalert&utm_medium=email&utm_campaign=jobAlertAlert&utm_content=ja-jobtitle&utm_term=",z1qw2324,,Brighton,,,,unknown,-unknown,,,,FALSE,,,,,,Tor to upload,❇️ Tor to upload without sale,,,,,Glassdoor ,,,,,,,,,,,,,
58,Senior UX Designer,Amazon,FALSE,,,,https://www.amazon.jobs/en/jobs/916973/senior-ux-designer,rew432gfdt,,London,,,,unknown,-unknown,,,,FALSE,,,,,,Not clear if still current. Website shows sept 2019. Have emailed thorugh random method but no reply. No easy way to contact Amazon HR,🔵 lead closed,,,,,whilst viewing other jobs,,,,,,,,,,,,,
59,Senior Digital Prodcut designer,Moo,FALSE,,,,https://jobs.lever.co/moo/ee374d21-9279-4b18-8f1a-d050341a1bfd,lkjhgf777,,london,,,,,,,,,FALSE,,,,,,As noted in Slack message this is one to chase and ties in with conference theme,🔴 AM contacting for sale,,,,,https://uxbri.slack.com/archives/C1626ASJY/p1580808317013700,,,,,,,,,,,,,
60,Senior UX/UI Designer,Shell,FALSE,"Tue, 18 Feb ’20",,19 Mar,https://krb-sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=30030&siteid=5798&jobid=1617463#jobDetails=1617463_5798,mjhtyuu,/jobs/logos/Shell-logo.png,London,,Permanent,,unknown,-unknown,,,,FALSE,https://krb-sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=30030&siteid=5798&jobid=1617463#jobDetails=1617463_5798,,no,"**Job Description**

We’re proud to post the perfect role for an experienced UX designer. Here’s a chance to put your passion for creative design and cutting-edge technologies centre stage. With every opportunity to progress your career and develop your skills at Shell.


**Where you fit in**

You’ll be integral to our Projects and Technology (P&T) department, which plays a vital role in helping Shell deliver our commitment to power progress together by providing more and cleaner energy solutions. With one of our key ambitions being to do things differently, with innovation at our heart.

Working successfully as part of the IT digital development team who supports the P&T department, you’ll be helping to drive projects that deliver on our future business strategy, enabling Shell to lead the way against the competition using results-orientated, reliable and secure IT and commercially-focussed digital solutions.


**What’s the role?**

As our Senior UX/UI Designer, your primary focus will be on the user experience and interface design for mobile, interactive web and other digital and software development and initiatives.  

Your strong UX/UI design skills and technical expertise combined with your visual awareness and knowledge of a range of specialist software tools, will see you confidently creating accessible, aesthetically appealing and meaningful applications and sites.

Expect no day to be the same – this is a role that comes with wide-ranging responsibilities. On the one hand you’ll be involved in the design of digital products and services, such as websites and mobile apps, ensuring that the 'user experience' is as efficient and pleasurable as possible.

On the other, you'll work collaboratively with other members of the digital team and the wider business to ensure that products and services meet client needs.

Finally, your excellent communication and team-playing skills will really make the difference to this role, as you nurture effective relationships with a range of stakeholders across a diverse, global environment.

**Requirements**

**What we need from you** 

We’re looking for the kind of person who is passionate about living life through a mobile device. Who is truly excited by the possibilities waiting to be discovered in personal computing. 

Beyond your solid experience in UX/UI Design, we’re keen to speak to men and women with as many of the following on your CV:

- The ability to quickly understand product specification and business requirements and translate into interaction models. 
- Experience developing user journeys, task flows, wireframes and prototypes around customer needs and communicating those concepts and ideas to developers and other key stakeholders.
- An awareness of software development with expertise in web and mobile development technologies, HTML5, CSS, jQuery and HTML5. 
- An understanding of corporate design and branding approach.

**Company Description**

Shell started operations in the United Kingdom more than 110 years ago. Since then we have grown into a leading innovative oil and gas company that rewards its employees by investing heavily in their careers and learning. Our people are our greatest asset, and our commitment to your career will see you thrive in a work environment that offers an industry-leading development programme. When your ideas travel, Shell will benefit and innovation will thrive. Shell has a key role to play in helping meet the UK’s growing energy demand, whilst using innovative technologies to develop cleaner energy. We are the largest FTSE 100 company in the UK by market capitalisation, and make a significant contribution to the UK economy. As well as processing 35% of the gas coming into the UK, we serve more than four million customers at our filling stations each week. Shell employs some 6,400 skilled staff as well as many contractors.


**An innovative place to work**

There’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.

Join us and you’ll add your talent and imagination to a business with the power to shape the future – whether by investing in renewables, exploring new ways to store energy or developing technology that helps the world to use energy more efficiently. 


**An inclusive place to work**

To power progress together, we need to attract and develop the brightest minds and make sure every voice is heard. Here are just some of the ways we’re nurturing an inclusive environment – one where you can express your ideas, extend your skills and reach your potential…

We’re creating a space where people with disabilities can excel through transparent recruitment process, workplace adjustments and ongoing support in their roles. Feel free to let us know about your circumstances when you apply and we’ll take it from there.

We’re closing the gender gap – whether that’s through action on equal pay or by enabling more women to reach senior roles in engineering and technology.

We’re striving to be a pioneer of an inclusive and diverse workplace, promoting equality for employees regardless of sexual orientation or gender identity.

We consider ourselves a flexible employer and want to support you finding the right balance. We encourage you to discuss this with us in your application.


**A rewarding place to work**

Combine our creative, collaborative environment and global operations with an impressive range of benefits and joining Shell becomes an inspired career choice. 

We’re huge advocates for career development. We’ll encourage you to try new roles and experience new settings. By pushing people to reach their potential, we frequently help them find skills they never knew they had, or make career moves they never thought possible.

**Disclaimer**

Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date.

Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world.

The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand.

Shell is an Equal Opportunity Employer.

(UX Brighton presumes this role to be permanent. Please check directly with Shell)",,Looks new,❇️ Tor to upload without sale,,,,,whislt on shall job page,,,,,,,,,,,,,
61,UX Designer,Studio Gobo,FALSE,,,,https://www.studiogobo.com/join-us/ux-designer-1256752/,gfydfd,,Hove,,,,unknown,-unknown,,,,FALSE,,,,,,Think new. ,🔴 AM contacting for sale,,,,,Email from Glassdoor,,,,,,,,,,,,,
62,Principal consultant,Foolproof,FALSE,,,,https://www.foolproof.co.uk/people/careers/principal-consultant-uk/,sdcgrty,,London/Norwich,,,,unknown,-unknown,,,,FALSE,,,,,,Lots user research on job description. Benefit form having UX in title?,🔴 AM contacting for sale,,,,,https://uxbri.slack.com/archives/C1626ASJY/p1580988381016000,,,,,,,,,,,,,
63,Senior Consultant,Foolproof,FALSE,,,,https://www.foolproof.co.uk/people/careers/senior-consultant/,uesfee,,London/Norwich,,,,unknown,-unknown,,,,FALSE,,,,,,Lots user research on job description. Benefit form having UX in title?,🔴 AM contacting for sale,,,,,https://uxbri.slack.com/archives/C1626ASJY/p1580988381016001,,,,,,,,,,,,,
64,Consultant,Foolproof,FALSE,,,,https://www.foolproof.co.uk/people/careers/consultant/,vgmoce,,London/Norwich,,,,unknown,-unknown,,,,FALSE,,,,,,Lots user research on job description. Benefit form having UX in title?,🔴 AM contacting for sale,,,,,https://uxbri.slack.com/archives/C1626ASJY/p1580988381016002,,,,,,,,,,,,,
65,UX Designer,Aviva,FALSE,"Wed, 12 Feb ’20",13 Mar,13 Mar,https://aviva.wd1.myworkdayjobs.com/External/job/UK---London---Ryley-Factory---Ground-Floor/UX-Designer_R-89200-1?source=Aviva_Rec_Blackbridge,adf45red,/jobs/logos/Aviva_Logo.svg.png,London,,12 Month Fixed Term,,unknown,-unknown,,,,FALSE,https://aviva.wd1.myworkdayjobs.com/en-US/External/job/UK---London---Ryley-Factory---Ground-Floor/UX-Designer_R-89200-1/apply?source=Aviva_Rec_Blackbridge,,11 Mar,"We are currently recruiting for a UX Designer to join our Global Digital Products Team within Aviva.

**This role is a 12-month fixed term contract.**

We craft complex digital products to help our customers build financial resilience and work with a diverse group who have a wide range of experience in many different sectors. 

As a UX designer you will work with researchers and strategists to understand customer needs and craft experiences with visual designers, copywriters, experience researchers, product owners and developers. 

**Duties & Responsibilities:**

- Solve complex customer problems through collaborative design practices.
- Work with researchers to define and critique research processes and outcomes.
- Visually represent the experiences in the form of user journeys, goals and information models.
- Produce wireframes and interactive prototypes to depict proposed functionality to customers.
- Work with developers and business analysts to provide details about your design concepts.
- Understanding technology and being able to reframe and challenge technological constraints.

**Skills & Experience required:**

- Experience using different UX methodologies and tools i.e. Sketch & InVision.
- Experience with research and testing as part of the design process.
- You revel in collaborating with practitioners, with product authorities and with customers.
- Knowledge of different UX methodologies and tools.
- Experience co-creating designs and to negotiating design decisions.

**What will you get for this role?**

- Competitive salary depending on skills, experience and qualifications.
- Generous defined contribution pension scheme.
- Annual performance related bonus and pay review.
- Holiday allowance of 29 days plus bank holidays and the option to buy/sell up to 5 additional days.
- Up to 40% discount for some Aviva products through “My Aviva Extras” plus discounts for Friends and Family! (Some exclusions apply).
- Excellent range of flexible benefits to include a matching share save scheme.

**Oh, and by the way…**

At Aviva we always ‘Care More’. It’s our thing. We’re all about our people – that’s you – so we can be flexible. If you need to work from home some of the time or change your hours so you can pick up your kids or care for someone in your family, we’re very open to that. We’ll even try to bend work around your further studies or hobbies where we can.

We care deeply about welcoming people no matter where they’re from, how old they are or what disability they have. We encourage applications from every age, race, ethnicity, disability, gender, gender identity, religion, culture, sexual orientation, national origin, marital status, pregnancy, maternity or caring responsibility. We want our employees to bring their whole self to work and that starts with you!

As part of that we interview every disabled applicant* that meets the minimum criteria for the job. Just send us an email once you’ve applied, and we’ll make sure we interview you.

If you like the sound of all that, we’d love it if you could submit your application online. If you need an alternative method of applying, please give Alice Neal a call on: 0121 200 5926 or ping them an email at: alice.neal@aviva.com.

*As defined in The Equality Act 2010*. By ‘minimum criteria’ we mean you must provide us with evidence which demonstrates that you generally meet the level of competence required and have the qualifications, skills or experience defined as essential to perform the role.",,12 month fixed term. Contact dets in job description,❇️ Tor to upload without sale,,,,,https://uxpa-uk.org/job/aviva-london-16-senior-ux-researcher/,0121 200 5926 alice.neal@aviva.com,,,,,,,,,,,,
66,Senior UX Researcher,Aviva,FALSE,,,,https://aviva.wd1.myworkdayjobs.com/External/job/UK---London-Hoxton-Campus/Senior-UX-Researcher_R-88686-1?source=Aviva_Rec_Blackbridge,neatclo,,London,,,,unknown,-unknown,,,,FALSE,,,,,,posted a month ago,❇️ Tor to upload without sale,,,,,https://uxpa-uk.org/jobs/jobsboard/,,,,,,,,,,,,,
67,Head of User Centered Design,Aviva,FALSE,,,,https://aviva.wd1.myworkdayjobs.com/External/job/Norwich/Head-of-User-Centred-Design_R-88772-1?source=Aviva_Rec_Blackbridge,ebokinfla,,London and Norwich,,,,UNknown,-UNknown,,,,FALSE,,,,,,Need clarity on Location,❇️ Tor to upload without sale,,,,,Aviva website,,,,,,,,,,,,,
68,Mid-Senior Level UX Designer,Cyber Duck,FALSE,,,,https://www.cyber-duck.co.uk/our-culture/careers/mid-to-senior-ux-designer,2feyd08,,London,,,,unknown,-unknown,,,,FALSE,,,,,,Danny agreed worth AM chasing for a sale,🔵 lead closed,,,,,https://uxpa-uk.org/job/cyber-duck-london-16-mid-to-senior-ux-designer/,,,,,,,,,,,,,
69,Product Design Commerce Platform,Spotify,FALSE,,,,https://www.spotifyjobs.com/job/product-designer-commerce-platform/,pecrran,,London,,,,unknown,-unknown,,,,FALSE,,,,,,,❇️ Tor to upload without sale,,,,,Linked in Search,,,,,,,,,,,,,
70,User Researcher - Content Platform,Spotify,FALSE,"Wed, 12 Feb ’20",,29 Feb,https://spotifyjobs.com/job/user-researcher-content-platform/,kabdg5e,/jobs/logos/Color-Spotify-Logo.jpg,London or Stockholm,,Permanent,,unknown,-unknown,,,,FALSE,https://jobs.lever.co/spotify/a7a3dc5b-b0da-4757-a786-2965709e2d2f/apply,,,"The Content Platform organization is a central enabler for the Spotify business, delivering a complete, available and enriched catalog of music, podcasts, videos and more. We discover and organize structured information about the world of audio by collecting, consuming and curating data.

We are looking for the first user researcher in Content Platform to show what qualitative insights can do! We’re kicking off foundational research into the users of our content platform—from record labels to internal employees. Content Platform products and research alike touch listeners, recording artists, songwriters, podcast creators, record label employees, music publishers, and internal employees.  As part of our team you will study user behaviour, strategic initiatives, product features, and more bringing data and insights into every decision we make. Your work will impact how we think about our users, our ability to identify and satisfy their needs, and create compelling customer support offerings and experiences informed by those needs.

This is a highly impactful role where you and the rest of the team will be able to directly impact how millions of Spotify users are supported around the world.

### What you’ll do

- Define, plan, and conduct user research throughout the product development cycle
- Deliver compelling and directional insights to product, design, and business teams
- Facilitate evidence-based product and design decisions
- Develop and innovate on our mixed-methods user research practice
- Contribute actively to company-wide research practice and community
- Work from our London or Stockholm office and be willing to travel internationally

### Who you are

- You have hands on experience in a user research role at a consumer-focused company
- You have experience in either a stand alone or Lead role
- You have an applied science degree with design elements
- You have broad experience of qualitative research methods
- You are comfortable planning, scoping, conducting, analysing and communicating research
- You are familiar with quantitative research methods, comfortable with metrics and A/B tests, and are able to synthesise quantitative data with qualitative user research
- You are a great storyteller and communicator, able to speak fluently to business people, designers, engineers and other stakeholders (in English)
- You are a dedicated advocate of a user-centred approach to product development
- You enjoy collaborative work in a dynamic, data-driven, creative environment.


Salary: Competitive

Location: London

Closing: 29/02/2020


You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 258 million users.",,Closing 29th Feb 20 noted on job page,❇️ Tor to upload without sale,,,,,Spotify jobs page,,,,,,,,,,,,,
